city,neighbourhood,property_type,price_period,median_price
Accra,Adenta,apartment,monthly,2600.0
Accra,Adenta,apartment,once,492850.0
Accra,Adenta,apartment,yearly,2500.0
Accra,Adenta,bedsitter,monthly,1000.0
Accra,Adenta,bedsitter,once,101100.0
Accra,Adenta,bedsitter,yearly,1000.0
Accra,Adenta,commercial,monthly,3900.0
Accra,Adenta,commercial,once,855750.0
Accra,Adenta,commercial,yearly,3950.0
Accra,Adenta,house,monthly,7400.0
Accra,Adenta,house,once,1565100.0
Accra,Adenta,house,yearly,7300.0
Accra,Adenta,land,once,226700.0
Accra,Airport Hills,apartment,monthly,5100.0
Accra,Airport Hills,apartment,once,1043700.0
Accra,Airport Hills,apartment,yearly,4650.0
Accra,Airport Hills,bedsitter,monthly,1200.0
Accra,Airport Hills,bedsitter,once,196300.0
Accra,Airport Hills,bedsitter,yearly,1200.0
Accra,Airport Hills,commercial,monthly,7900.0
Accra,Airport Hills,commercial,once,1857000.0
Accra,Airport Hills,commercial,yearly,7550.0
Accra,Airport Hills,house,monthly,14900.0
Accra,Airport Hills,house,once,3026500.0
Accra,Airport Hills,house,yearly,16500.0
Accra,Airport Hills,land,once,423450.0
Accra,Ashaiman,apartment,monthly,2500.0
Accra,Ashaiman,apartment,once,496600.0
Accra,Ashaiman,apartment,yearly,2650.0
Accra,Ashaiman,bedsitter,monthly,1000.0
Accra,Ashaiman,bedsitter,once,93450.0
Accra,Ashaiman,bedsitter,yearly,1000.0
Accra,Ashaiman,commercial,monthly,3700.0
Accra,Ashaiman,commercial,once,831550.0
Accra,Ashaiman,commercial,yearly,3850.0
Accra,Ashaiman,house,monthly,7400.0
Accra,Ashaiman,house,once,1508950.0
Accra,Ashaiman,house,yearly,7300.0
Accra,Ashaiman,land,once,218600.0
Accra,Cantonments,apartment,monthly,9250.0
Accra,Cantonments,apartment,once,1809800.0
Accra,Cantonments,apartment,yearly,9700.0
Accra,Cantonments,bedsitter,monthly,2300.0
Accra,Cantonments,bedsitter,once,365050.0
Accra,Cantonments,bedsitter,yearly,2450.0
Accra,Cantonments,commercial,monthly,13900.0
Accra,Cantonments,commercial,once,3382600.0
Accra,Cantonments,commercial,yearly,14100.0
Accra,Cantonments,house,monthly,26700.0
Accra,Cantonments,house,once,5450100.0
Accra,Cantonments,house,yearly,26900.0
Accra,Cantonments,land,once,801600.0
Accra,East Legon,apartment,monthly,9500.0
Accra,East Legon,apartment,once,1756000.0
Accra,East Legon,apartment,yearly,9700.0
Accra,East Legon,bedsitter,monthly,2400.0
Accra,East Legon,bedsitter,once,345800.0
Accra,East Legon,bedsitter,yearly,2200.0
Accra,East Legon,commercial,monthly,13700.0
Accra,East Legon,commercial,once,3193100.0
Accra,East Legon,commercial,yearly,11500.0
Accra,East Legon,house,monthly,26600.0
Accra,East Legon,house,once,5267400.0
Accra,East Legon,house,yearly,30400.0
Accra,East Legon,land,once,810100.0
Accra,Tema,apartment,monthly,5000.0
Accra,Tema,apartment,once,1005650.0
Accra,Tema,apartment,yearly,5300.0
Accra,Tema,bedsitter,monthly,1300.0
Accra,Tema,bedsitter,once,195400.0
Accra,Tema,bedsitter,yearly,1200.0
Accra,Tema,commercial,monthly,7450.0
Accra,Tema,commercial,once,1630300.0
Accra,Tema,commercial,yearly,6100.0
Accra,Tema,house,monthly,14000.0
Accra,Tema,house,once,2855300.0
Accra,Tema,house,yearly,15300.0
Accra,Tema,land,once,427500.0
Dar es Salaam,Kinondoni,apartment,monthly,1298400.0
Dar es Salaam,Kinondoni,apartment,once,249203900.0
Dar es Salaam,Kinondoni,apartment,yearly,1187350.0
Dar es Salaam,Kinondoni,bedsitter,monthly,373950.0
Dar es Salaam,Kinondoni,bedsitter,once,50875400.0
Dar es Salaam,Kinondoni,bedsitter,yearly,349750.0
Dar es Salaam,Kinondoni,commercial,monthly,1781900.0
Dar es Salaam,Kinondoni,commercial,once,346732600.0
Dar es Salaam,Kinondoni,commercial,yearly,1807000.0
Dar es Salaam,Kinondoni,house,monthly,3685300.0
Dar es Salaam,Kinondoni,house,once,718766450.0
Dar es Salaam,Kinondoni,house,yearly,3451250.0
Dar es Salaam,Kinondoni,land,once,106518800.0
Dar es Salaam,Mbagala,apartment,monthly,665800.0
Dar es Salaam,Mbagala,apartment,once,124733000.0
Dar es Salaam,Mbagala,apartment,yearly,652800.0
Dar es Salaam,Mbagala,bedsitter,monthly,196450.0
Dar es Salaam,Mbagala,bedsitter,once,26477200.0
Dar es Salaam,Mbagala,bedsitter,yearly,201400.0
Dar es Salaam,Mbagala,commercial,monthly,966000.0
Dar es Salaam,Mbagala,commercial,once,178532300.0
Dar es Salaam,Mbagala,commercial,yearly,1083400.0
Dar es Salaam,Mbagala,house,monthly,1861100.0
Dar es Salaam,Mbagala,house,once,350450700.0
Dar es Salaam,Mbagala,house,yearly,1968400.0
Dar es Salaam,Mbagala,land,once,56535800.0
Dar es Salaam,Mikocheni,apartment,monthly,1280100.0
Dar es Salaam,Mikocheni,apartment,once,246834300.0
Dar es Salaam,Mikocheni,apartment,yearly,1261400.0
Dar es Salaam,Mikocheni,bedsitter,monthly,361100.0
Dar es Salaam,Mikocheni,bedsitter,once,50777300.0
Dar es Salaam,Mikocheni,bedsitter,yearly,333050.0
Dar es Salaam,Mikocheni,commercial,monthly,1830300.0
Dar es Salaam,Mikocheni,commercial,once,394299500.0
Dar es Salaam,Mikocheni,commercial,yearly,1896700.0
Dar es Salaam,Mikocheni,house,monthly,3589750.0
Dar es Salaam,Mikocheni,house,once,728673750.0
Dar es Salaam,Mikocheni,house,yearly,3692700.0
Dar es Salaam,Mikocheni,land,once,111973850.0
Dar es Salaam,Msasani,apartment,monthly,2328050.0
Dar es Salaam,Msasani,apartment,once,447604100.0
Dar es Salaam,Msasani,apartment,yearly,2468650.0
Dar es Salaam,Msasani,bedsitter,monthly,694100.0
Dar es Salaam,Msasani,bedsitter,once,98792600.0
Dar es Salaam,Msasani,bedsitter,yearly,663150.0
Dar es Salaam,Msasani,commercial,monthly,3384600.0
Dar es Salaam,Msasani,commercial,once,709846800.0
Dar es Salaam,Msasani,commercial,yearly,3581700.0
Dar es Salaam,Msasani,house,monthly,6934800.0
Dar es Salaam,Msasani,house,once,1454330400.0
Dar es Salaam,Msasani,house,yearly,7039400.0
Dar es Salaam,Msasani,land,once,202653950.0
Dar es Salaam,Oyster Bay,apartment,monthly,2544500.0
Dar es Salaam,Oyster Bay,apartment,once,459650050.0
Dar es Salaam,Oyster Bay,apartment,yearly,2287100.0
Dar es Salaam,Oyster Bay,bedsitter,monthly,672500.0
Dar es Salaam,Oyster Bay,bedsitter,once,102966000.0
Dar es Salaam,Oyster Bay,bedsitter,yearly,726850.0
Dar es Salaam,Oyster Bay,commercial,monthly,3605100.0
Dar es Salaam,Oyster Bay,commercial,once,646579700.0
Dar es Salaam,Oyster Bay,commercial,yearly,3418300.0
Dar es Salaam,Oyster Bay,house,monthly,6727200.0
Dar es Salaam,Oyster Bay,house,once,1442930550.0
Dar es Salaam,Oyster Bay,house,yearly,7201000.0
Dar es Salaam,Oyster Bay,land,once,207672750.0
Dar es Salaam,Temeke,apartment,monthly,679900.0
Dar es Salaam,Temeke,apartment,once,131275550.0
Dar es Salaam,Temeke,apartment,yearly,706300.0
Dar es Salaam,Temeke,bedsitter,monthly,190900.0
Dar es Salaam,Temeke,bedsitter,once,27054900.0
Dar es Salaam,Temeke,bedsitter,yearly,198700.0
Dar es Salaam,Temeke,commercial,monthly,910950.0
Dar es Salaam,Temeke,commercial,once,176671150.0
Dar es Salaam,Temeke,commercial,yearly,984200.0
Dar es Salaam,Temeke,house,monthly,1934850.0
Dar es Salaam,Temeke,house,once,392216700.0
Dar es Salaam,Temeke,house,yearly,1938500.0
Dar es Salaam,Temeke,land,once,55120150.0
Kampala,Bukoto,apartment,monthly,1974700.0
Kampala,Bukoto,apartment,once,440960500.0
Kampala,Bukoto,apartment,yearly,1903600.0
Kampala,Bukoto,bedsitter,monthly,556400.0
Kampala,Bukoto,bedsitter,once,83505650.0
Kampala,Bukoto,bedsitter,yearly,520600.0
Kampala,Bukoto,commercial,monthly,2769600.0
Kampala,Bukoto,commercial,once,649620100.0
Kampala,Bukoto,commercial,yearly,2747250.0
Kampala,Bukoto,house,monthly,6277700.0
Kampala,Bukoto,house,once,1143130050.0
Kampala,Bukoto,house,yearly,6357350.0
Kampala,Bukoto,land,once,208478400.0
Kampala,Kireka,apartment,monthly,1016200.0
Kampala,Kireka,apartment,once,227695750.0
Kampala,Kireka,apartment,yearly,1107050.0
Kampala,Kireka,bedsitter,monthly,281500.0
Kampala,Kireka,bedsitter,once,41859000.0
Kampala,Kireka,bedsitter,yearly,244450.0
Kampala,Kireka,commercial,monthly,1373500.0
Kampala,Kireka,commercial,once,352988400.0
Kampala,Kireka,commercial,yearly,1332800.0
Kampala,Kireka,house,monthly,3211800.0
Kampala,Kireka,house,once,567805600.0
Kampala,Kireka,house,yearly,3047700.0
Kampala,Kireka,land,once,110443350.0
Kampala,Kololo,apartment,monthly,3743600.0
Kampala,Kololo,apartment,once,835218300.0
Kampala,Kololo,apartment,yearly,3654950.0
Kampala,Kololo,bedsitter,monthly,1002300.0
Kampala,Kololo,bedsitter,once,163326200.0
Kampala,Kololo,bedsitter,yearly,974600.0
Kampala,Kololo,commercial,monthly,5333200.0
Kampala,Kololo,commercial,once,1211494450.0
Kampala,Kololo,commercial,yearly,4852400.0
Kampala,Kololo,house,monthly,11642500.0
Kampala,Kololo,house,once,2488810200.0
Kampala,Kololo,house,yearly,11345350.0
Kampala,Kololo,land,once,415896850.0
Kampala,Naalya,apartment,monthly,1034500.0
Kampala,Naalya,apartment,once,228171700.0
Kampala,Naalya,apartment,yearly,1021700.0
Kampala,Naalya,bedsitter,monthly,292300.0
Kampala,Naalya,bedsitter,once,44211600.0
Kampala,Naalya,bedsitter,yearly,269050.0
Kampala,Naalya,commercial,monthly,1428650.0
Kampala,Naalya,commercial,once,343785900.0
Kampala,Naalya,commercial,yearly,1551050.0
Kampala,Naalya,house,monthly,3182500.0
Kampala,Naalya,house,once,680521400.0
Kampala,Naalya,house,yearly,3001700.0
Kampala,Naalya,land,once,114172000.0
Kampala,Nakasero,apartment,monthly,3711100.0
Kampala,Nakasero,apartment,once,828485600.0
Kampala,Nakasero,apartment,yearly,3975500.0
Kampala,Nakasero,bedsitter,monthly,958000.0
Kampala,Nakasero,bedsitter,once,135631800.0
Kampala,Nakasero,bedsitter,yearly,990600.0
Kampala,Nakasero,commercial,monthly,5319850.0
Kampala,Nakasero,commercial,once,1198927700.0
Kampala,Nakasero,commercial,yearly,4695300.0
Kampala,Nakasero,house,monthly,11015500.0
Kampala,Nakasero,house,once,1990493300.0
Kampala,Nakasero,house,yearly,11355600.0
Kampala,Nakasero,land,once,402479600.0
Kampala,Ntinda,apartment,monthly,2014550.0
Kampala,Ntinda,apartment,once,444601700.0
Kampala,Ntinda,apartment,yearly,2016150.0
Kampala,Ntinda,bedsitter,monthly,497600.0
Kampala,Ntinda,bedsitter,once,85566400.0
Kampala,Ntinda,bedsitter,yearly,512250.0
Kampala,Ntinda,commercial,monthly,2536500.0
Kampala,Ntinda,commercial,once,642540200.0
Kampala,Ntinda,commercial,yearly,2757700.0
Kampala,Ntinda,house,monthly,5889000.0
Kampala,Ntinda,house,once,1259783300.0
Kampala,Ntinda,house,yearly,6129900.0
Kampala,Ntinda,land,once,216701950.0
Lagos,Agege,apartment,monthly,124550.0
Lagos,Agege,apartment,once,30379300.0
Lagos,Agege,apartment,yearly,127400.0
Lagos,Agege,bedsitter,monthly,32500.0
Lagos,Agege,bedsitter,once,5551100.0
Lagos,Agege,bedsitter,yearly,30300.0
Lagos,Agege,commercial,monthly,198100.0
Lagos,Agege,commercial,once,42731150.0
Lagos,Agege,commercial,yearly,185050.0
Lagos,Agege,house,monthly,364900.0
Lagos,Agege,house,once,83831150.0
Lagos,Agege,house,yearly,372000.0
Lagos,Agege,land,once,13584400.0
Lagos,Ikeja,apartment,monthly,254000.0
Lagos,Ikeja,apartment,once,55848500.0
Lagos,Ikeja,apartment,yearly,234350.0
Lagos,Ikeja,bedsitter,monthly,63550.0
Lagos,Ikeja,bedsitter,once,10047700.0
Lagos,Ikeja,bedsitter,yearly,69850.0
Lagos,Ikeja,commercial,monthly,354100.0
Lagos,Ikeja,commercial,once,77877900.0
Lagos,Ikeja,commercial,yearly,394100.0
Lagos,Ikeja,house,monthly,697550.0
Lagos,Ikeja,house,once,165331050.0
Lagos,Ikeja,house,yearly,756100.0
Lagos,Ikeja,land,once,26574200.0
Lagos,Ikoyi,apartment,monthly,473200.0
Lagos,Ikoyi,apartment,once,104562100.0
Lagos,Ikoyi,apartment,yearly,485300.0
Lagos,Ikoyi,bedsitter,monthly,118900.0
Lagos,Ikoyi,bedsitter,once,20752150.0
Lagos,Ikoyi,bedsitter,yearly,124300.0
Lagos,Ikoyi,commercial,monthly,697450.0
Lagos,Ikoyi,commercial,once,160447550.0
Lagos,Ikoyi,commercial,yearly,686100.0
Lagos,Ikoyi,house,monthly,1369850.0
Lagos,Ikoyi,house,once,298277000.0
Lagos,Ikoyi,house,yearly,1353900.0
Lagos,Ikoyi,land,once,53135400.0
Lagos,Lekki,apartment,monthly,458000.0
Lagos,Lekki,apartment,once,107540150.0
Lagos,Lekki,apartment,yearly,415900.0
Lagos,Lekki,bedsitter,monthly,118150.0
Lagos,Lekki,bedsitter,once,19633000.0
Lagos,Lekki,bedsitter,yearly,117400.0
Lagos,Lekki,commercial,monthly,691100.0
Lagos,Lekki,commercial,once,153719900.0
Lagos,Lekki,commercial,yearly,718900.0
Lagos,Lekki,house,monthly,1287800.0
Lagos,Lekki,house,once,298896100.0
Lagos,Lekki,house,yearly,1351550.0
Lagos,Lekki,land,once,49425750.0
Lagos,Mushin,apartment,monthly,128450.0
Lagos,Mushin,apartment,once,30965200.0
Lagos,Mushin,apartment,yearly,126300.0
Lagos,Mushin,bedsitter,monthly,31650.0
Lagos,Mushin,bedsitter,once,5285500.0
Lagos,Mushin,bedsitter,yearly,32800.0
Lagos,Mushin,commercial,monthly,194200.0
Lagos,Mushin,commercial,once,44050800.0
Lagos,Mushin,commercial,yearly,176300.0
Lagos,Mushin,house,monthly,392350.0
Lagos,Mushin,house,once,86358500.0
Lagos,Mushin,house,yearly,397200.0
Lagos,Mushin,land,once,14113300.0
Lagos,Surulere,apartment,monthly,234000.0
Lagos,Surulere,apartment,once,56984750.0
Lagos,Surulere,apartment,yearly,254000.0
Lagos,Surulere,bedsitter,monthly,61500.0
Lagos,Surulere,bedsitter,once,10484300.0
Lagos,Surulere,bedsitter,yearly,68100.0
Lagos,Surulere,commercial,monthly,362200.0
Lagos,Surulere,commercial,once,79264300.0
Lagos,Surulere,commercial,yearly,317700.0
Lagos,Surulere,house,monthly,701850.0
Lagos,Surulere,house,once,165999700.0
Lagos,Surulere,house,yearly,714000.0
Lagos,Surulere,land,once,25936400.0
Lagos,Victoria Island,apartment,monthly,474100.0
Lagos,Victoria Island,apartment,once,114779300.0
Lagos,Victoria Island,apartment,yearly,453200.0
Lagos,Victoria Island,bedsitter,monthly,117700.0
Lagos,Victoria Island,bedsitter,once,19094100.0
Lagos,Victoria Island,bedsitter,yearly,116600.0
Lagos,Victoria Island,commercial,monthly,674300.0
Lagos,Victoria Island,commercial,once,149783700.0
Lagos,Victoria Island,commercial,yearly,676950.0
Lagos,Victoria Island,house,monthly,1451900.0
Lagos,Victoria Island,house,once,340430300.0
Lagos,Victoria Island,house,yearly,1337900.0
Lagos,Victoria Island,land,once,50804900.0
Lagos,Yaba,apartment,monthly,252100.0
Lagos,Yaba,apartment,once,56496350.0
Lagos,Yaba,apartment,yearly,243500.0
Lagos,Yaba,bedsitter,monthly,64300.0
Lagos,Yaba,bedsitter,once,10297000.0
Lagos,Yaba,bedsitter,yearly,67650.0
Lagos,Yaba,commercial,monthly,355300.0
Lagos,Yaba,commercial,once,80478700.0
Lagos,Yaba,commercial,yearly,384900.0
Lagos,Yaba,house,monthly,732000.0
Lagos,Yaba,house,once,161545300.0
Lagos,Yaba,house,yearly,713300.0
Lagos,Yaba,land,once,26875400.0
Mombasa,Bamburi,apartment,monthly,35900.0
Mombasa,Bamburi,apartment,once,8581250.0
Mombasa,Bamburi,apartment,yearly,34400.0
Mombasa,Bamburi,bedsitter,monthly,8500.0
Mombasa,Bamburi,bedsitter,once,1247500.0
Mombasa,Bamburi,bedsitter,yearly,8500.0
Mombasa,Bamburi,commercial,monthly,47300.0
Mombasa,Bamburi,commercial,once,11663500.0
Mombasa,Bamburi,commercial,yearly,44050.0
Mombasa,Bamburi,house,monthly,96450.0
Mombasa,Bamburi,house,once,21315900.0
Mombasa,Bamburi,house,yearly,89400.0
Mombasa,Bamburi,land,once,3234500.0
Mombasa,Kisauni,apartment,monthly,18400.0
Mombasa,Kisauni,apartment,once,4513000.0
Mombasa,Kisauni,apartment,yearly,18200.0
Mombasa,Kisauni,bedsitter,monthly,4300.0
Mombasa,Kisauni,bedsitter,once,612500.0
Mombasa,Kisauni,bedsitter,yearly,4550.0
Mombasa,Kisauni,commercial,monthly,23800.0
Mombasa,Kisauni,commercial,once,6159200.0
Mombasa,Kisauni,commercial,yearly,27900.0
Mombasa,Kisauni,house,monthly,49200.0
Mombasa,Kisauni,house,once,11002050.0
Mombasa,Kisauni,house,yearly,45700.0
Mombasa,Kisauni,land,once,1679400.0
Mombasa,Likoni,apartment,monthly,19000.0
Mombasa,Likoni,apartment,once,4154850.0
Mombasa,Likoni,apartment,yearly,20050.0
Mombasa,Likoni,bedsitter,monthly,4400.0
Mombasa,Likoni,bedsitter,once,691000.0
Mombasa,Likoni,bedsitter,yearly,4300.0
Mombasa,Likoni,commercial,monthly,23800.0
Mombasa,Likoni,commercial,once,6300000.0
Mombasa,Likoni,commercial,yearly,22500.0
Mombasa,Likoni,house,monthly,51300.0
Mombasa,Likoni,house,once,12041700.0
Mombasa,Likoni,house,yearly,49300.0
Mombasa,Likoni,land,once,1680950.0
Mombasa,Mtwapa,apartment,monthly,35900.0
Mombasa,Mtwapa,apartment,once,7870450.0
Mombasa,Mtwapa,apartment,yearly,34150.0
Mombasa,Mtwapa,bedsitter,monthly,8200.0
Mombasa,Mtwapa,bedsitter,once,1222000.0
Mombasa,Mtwapa,bedsitter,yearly,8200.0
Mombasa,Mtwapa,commercial,monthly,45100.0
Mombasa,Mtwapa,commercial,once,11132350.0
Mombasa,Mtwapa,commercial,yearly,43050.0
Mombasa,Mtwapa,house,monthly,93950.0
Mombasa,Mtwapa,house,once,20568500.0
Mombasa,Mtwapa,house,yearly,92800.0
Mombasa,Mtwapa,land,once,3127200.0
Mombasa,Nyali,apartment,monthly,67550.0
Mombasa,Nyali,apartment,once,15826800.0
Mombasa,Nyali,apartment,yearly,56750.0
Mombasa,Nyali,bedsitter,monthly,15500.0
Mombasa,Nyali,bedsitter,once,2232200.0
Mombasa,Nyali,bedsitter,yearly,15200.0
Mombasa,Nyali,commercial,monthly,86400.0
Mombasa,Nyali,commercial,once,19595800.0
Mombasa,Nyali,commercial,yearly,96550.0
Mombasa,Nyali,house,monthly,175100.0
Mombasa,Nyali,house,once,36123100.0
Mombasa,Nyali,house,yearly,163700.0
